,Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Year,Lithography(nm),Recommended_Customer_Price(USD),nb_of_Cores,nb_of_Threads,Processor_Base_Frequency(GHz),Cache(MB),TDP(W),Max_Memory_Bandwidth(GB/s),Instruction_Set(bit),Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Graphics_Base_Frequency(MHz)
0,7th Generation Intel® Core™ i7 Processors,Mobile,i7-7Y75,Launched,2016,14.0,393.0,2.0,4.0,1.3,4.0,4.5,29.8,64,1,1,300
1,8th Generation Intel® Core™ i5 Processors,Mobile,i5-8250U,Launched,2017,14.0,297.0,4.0,8.0,1.6,6.0,15.0,34.1,64,1,1,300
2,8th Generation Intel® Core™ i7 Processors,Mobile,i7-8550U,Launched,2017,14.0,409.0,4.0,8.0,1.8,8.0,15.0,34.1,64,1,1,300
3,7th Generation Intel® Core™ i5 Processors,Mobile,i5-7Y57,Launched,2017,14.0,281.0,2.0,4.0,1.2,4.0,4.5,29.8,64,1,1,300
4,Intel® Celeron® Processor 3000 Series,Mobile,3205U,Launched,2015,14.0,107.0,2.0,2.0,1.5,2.0,15.0,25.6,64,0,1,100
5,Intel® Celeron® Processor N Series,Mobile,N2805,Launched,2013,22.0,60.85,2.0,2.0,1.46,1.0,4.3,9.587800000000003,64,0,1,313
6,Intel® Celeron® Processor J Series,Desktop,J1750,Launched,2013,22.0,75.78,2.0,2.0,2.41,1.0,10.0,21.59279999999998,64,0,1,688
7,Intel® Celeron® Processor G Series,Desktop,G1610,Launched,2013,22.0,42.0,2.0,2.0,2.6,2.0,55.0,21.0,64,0,1,650
8,Intel® Pentium® Processor 2000 Series,Mobile,2020M,Launched,2012,22.0,134.0,2.0,2.0,2.4,2.0,35.0,25.6,64,0,1,650
9,Intel® Pentium® Processor 3000 Series,Mobile,3825U,Launched,2015,14.0,161.0,2.0,4.0,1.9,2.0,15.0,25.6,64,1,1,300
10,Intel® Pentium® Processor 4000 Series,Mobile,4405U,Launched,2015,14.0,161.0,2.0,4.0,2.1,2.0,15.0,34.1,64,1,1,300
